名称,稀有度,价格,用途,介绍,获取途径,标签,所属背包,子类型,适用角色,pics
爪爪币,蓝,0,「粉爪大劫案」活动中可获取的特制金币，将它们交给粉爪银行的小吱，可以兑换各种道具。,颇为少见的猫爪形金币，由粉爪银行特别发行。,「粉爪大劫案」玩法获取,其他背包、货币、局外保留,粉爪大劫案,货币、常驻,,爪爪币
粉爪积分,蓝,0,在「粉爪大劫案」玩法中可获得的积分，达到一定积分后可领取对应奖励。,表现得太好有时候等于表现得不太好。,「粉爪大劫案」玩法获取,其他背包、货币、局外保留,粉爪大劫案,积分、常驻,,粉爪积分
神秘纽扣,金,0,游玩「九百九十九夜」桌游可以获得活动代币「神秘纽扣」。,似乎有些眼熟的纽扣。神秘商绵非常喜欢收集。,「九百九十九夜」玩法获取,其他背包、货币、局外保留,九百九十九夜,货币、常驻,,神秘纽扣
沃伦金币,蓝,0,游玩「九百九十九夜」桌游可获得的玩法内货币「沃伦金币」。,沃伦大陆的通用货币。它不是金币巧克力，不可以吃！,「九百九十九夜」玩法获取,其他背包、货币、局外保留,九百九十九夜,货币、常驻,,沃伦金币
嘭嘭雾,金,0,激活后会产生阻隔视线的烟雾，并在短时间内消散。,似乎是「嘭嘭朵」的异象制品。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,便捷条,,嘭嘭雾
钥匙串-1F,金,0,可开启一楼的诊室和手术室。,可开启一楼的诊室和手术室。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,钥匙串-1F
备用钥匙-1F,金,0,可开启一楼楼梯间的大门。,可开启一楼楼梯间的大门。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,备用钥匙-1F
钥匙串-2F,金,0,可开启二楼的小病房。,可开启二楼的小病房。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,钥匙串-2F
大厅钥匙-2F,金,0,可开启二楼中央大厅的大门。,可开启二楼中央大厅的大门。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,大厅钥匙-2F
备用钥匙-中央病房,金,0,可开启二楼的中央病房。,可开启二楼的中央病房。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,备用钥匙-中央病房
备用钥匙-2F,金,0,可开启二楼楼梯间的大门。,可开启二楼楼梯间的大门。,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,备用钥匙-2F
钥匙-南区,金,0,可开启3F南区大门,可开启3F南区大门,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,钥匙-南区
钥匙-北区,金,0,可开启3F北区大门,可开启3F北区大门,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,钥匙-北区
备用钥匙-办公区,金,0,可开启3F办公室区域的门,可开启3F办公室区域的门,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,门禁,,备用钥匙-办公区
异病患者线索·一,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异病患者线索·一
异病患者线索·二,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异病患者线索·二
异病患者线索·三,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异病患者线索·三
异病患者线索·四,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异病患者线索·四
异病患者线索·五,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异病患者线索·五
监察记录线索·一,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,监察记录线索·一
监察记录线索·二,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,监察记录线索·二
监察记录线索·三,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,监察记录线索·三
监察记录线索·四,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,监察记录线索·四
监察记录线索·五,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,监察记录线索·五
异象实验线索·一,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异象实验线索·一
异象实验线索·二,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异象实验线索·二
异象实验线索·三,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异象实验线索·三
异象实验线索·四,金,0,,,异象委托「噩梦缠身-无名医院」探索获得,其他背包、常驻、每局重置,噩梦缠身,线索,,异象实验线索·四
