名称,稀有度,价格,用途,介绍,获取途径,标签,类型,子类型,规格,家装系列,舒适度,收藏值,角色特殊互动,pics,,
云蓝沙发-多人,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,长条形的蓝色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,L,多彩沙发系列,60,300,,云蓝沙发-多人,,
云蓝沙发-单人,紫,22500,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,单人座的蓝色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,M,多彩沙发系列,45,225,,云蓝沙发-单人,,
云蓝软墩,紫,18000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,蓝色的圆形软墩，轻便的造型设计满足随时随地的使用需求。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,S,多彩沙发系列,36,180,,云蓝软墩,,
云蓝沙发-L型,金,45000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。L型的蓝色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,多彩沙发系列,90,450,,云蓝沙发-L型,,
樱粉沙发-多人,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,长条形的粉色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,L,多彩沙发系列,60,300,,樱粉沙发-多人,,
樱粉沙发-单人,紫,22500,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,单人座粉色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,M,多彩沙发系列,45,225,,樱粉沙发-单人,,
樱粉软墩,紫,18000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,粉色的圆形软墩，轻便的造型设计满足随时随地的使用需求。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,S,多彩沙发系列,36,180,,樱粉软墩,,
樱粉沙发-L型,金,45000,可以增加幸福感的家具，收录后增加收藏值，摆放在家中可增加舒适度。,可以增加幸福感的家装。L型的粉色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(新赫兰德区),家装、可购买,家具,沙发,L,多彩沙发系列,90,450,,樱粉沙发-L型,,
暖橙沙发-多人,金,30000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,长条形的橙色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,L,多彩沙发系列,60,300,,暖橙沙发-多人,,
暖橙沙发-单人,紫,22500,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,单人座橙色沙发，兼顾美观与实用，是家庭休闲的理想选择。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,M,多彩沙发系列,45,225,,暖橙沙发-单人,,
暖橙软墩,紫,18000,装饰家里的家具，收录后增加收藏值，摆放在家中可增加舒适度。,橙色的圆形软墩，轻便的造型设计满足随时随地的使用需求。,超规格家饰馆(绘空町),家装、可购买,家具,沙发,S,多彩沙发系列,36,180,,暖橙软墩,,
