名称,稀有度,价格,用途,介绍,获取途径,标签,pics,,
Rover A1,金,0,在空旷处使用后呼叫车辆Rover A1。,Rover A1，轻巧车身，节能环保，短途通勤的最佳伴侣。,完成主线任务「照相馆的异常」后解锁,重要物品、特殊获取、便捷条、车钥匙,Rover A1,,
「冲向明天！」,金,30000爪爪币,在空旷处使用后呼叫车辆「冲向明天！」。,由「管家」大卫先生驱动的次世代新概念载具。在下次迭代中，我们预计将其改为燃料驱动，使用大小相等的四轮，以及更安全的封闭轿厢。这是载具界的一次重大突破！,「粉爪猫窝」中兑换,重要物品、可购买、特殊获取、便捷条、车钥匙、玩法、粉爪大劫案,「冲向明天！」,,
B100,金,20000爪爪币,在路边使用后呼叫车辆B100。,新越新品B100，轻量化车身和低重心布局，让你感受稳健而灵敏的驾驶回应。,「粉爪猫窝」中兑换,重要物品、可购买、特殊获取、便捷条、车钥匙、玩法、粉爪大劫案,B100,,
C2000,金,50000,在路边使用后呼叫车辆C2000。,新越-C2000，经济适用与卓越性能的完美结合，宽敞舒适的驾乘体验，高效运转的动力系统，让每一次出行，都安稳可靠。,新越车行,重要物品、可购买、便捷条、车钥匙,C2000,,
M1000,金,350000,在路边使用后呼叫车辆M1000。,新越M1000，紧凑车身设计，极致灵活操纵体验，让你在城市拥堵中也游刃有余。,新越车行,重要物品、可购买、便捷条、车钥匙,M1000,,
ST79,金,600000,在路边使用后呼叫车辆ST79。,ST79，简洁实用的机械结构，复古外形搭配充满机械感的手动变速箱，纯粹的驾驶乐趣，就此启程。,新越车行,重要物品、可购买、便捷条、车钥匙,ST79,,
Enforcer,金,1720000,在路边使用后呼叫车辆Enforcer。,Enforcer，充满力量感的车身线条配合以强劲马力，坚固耐用，助你成为道路的掌控者。,新越车行,重要物品、可购买、便捷条、车钥匙,Enforcer,,
Girffin,金,1500000,在路边使用后呼叫车辆Girffin。,Griffin，雷加利亚旗下工艺与科技的结晶，配置最新的驾驶辅助系统和智能信息娱乐系统，流线型车身与标志性跳灯的完美融合，彰显了雷加利亚对于细节的极致追求。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,Girffin,,
Girffin Volante,金,1800000,在路边使用后呼叫车辆Girffin Volante。,雷加利亚最新敞篷汽车，无可比拟的流线外形，将空气动力学与美学推至极致，敞篷设计让都市喧嚣也成为最自由的风。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,Girffin Volante,,
Pursuit V8,金,4000000,在路边使用后呼叫车辆Pursuit V8。,Pursuit V8，精准调校的四驱系统，启动时的低沉轰鸣声浪，感受纯粹机械魅力。,雷加利亚车行,重要物品、可购买、便捷条、车钥匙,Pursuit V8,,
