名称,稀有度,价格,用途,介绍,获取途径,标签
绢豆腐,绿,32,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,质地细腻的豆制品，只有技艺高超的老师傅才能抓住最好的时机，将其凝固成最完美的样子。,"夏成豆腐店(米格尔区)
茂藏家豆腐店(桥间地)
茂藏家豆腐店(绘空町)
茂藏家豆腐店(新赫兰德区)",物料、可购买、加工品
火腿,绿,52,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,经过熏制的肉制品，精选后腿肉，锁住丰润的油脂，就算是再干巴的面包，加上一片都能令人口齿生香。,"普利姆叔叔肉铺(桥间地)
普利姆叔叔肉铺(绘空町)
普利姆叔叔肉铺(米格尔区)",物料、可购买、肉类
香肠,绿,48,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,经过特殊处理的肉制品，肉糜灌入肠衣之后，经风干处理，极易保存携带，异象猎人的随身不二之选。,"普利姆叔叔肉铺(桥间地)
普利姆叔叔肉铺(绘空町)
普利姆叔叔肉铺(米格尔区)
普利姆叔叔肉铺(新赫兰德区)",物料、可购买、肉类
新鲜牛肉,绿,56,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,纹理清晰，口感丰富的肉类食材，营养价值和轻食价格成正比。所以，牵着一头牛去健身房门口的话……价格能再涨涨吗？,"普利姆叔叔肉铺(绘空町)
普利姆叔叔肉铺(米格尔区)
普利姆叔叔肉铺(新赫兰德区)",物料、可购买、肉类
新鲜猪肉,绿,40,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,纤维细软，富含脂肪的肉类食材，拥有多种烹制方式，与其生前相比，广受欢迎。,"普利姆叔叔肉铺(桥间地)
普利姆叔叔肉铺(绘空町)
普利姆叔叔肉铺(米格尔区)
普利姆叔叔肉铺(新赫兰德区)",物料、可购买、肉类
新鲜鸡肉,绿,40,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,白里透红，光滑Q弹的肉类食材，可以提供优质的蛋白质和热量，减肥好选择……炸鸡不算。,"普利姆叔叔肉铺(桥间地)
普利姆叔叔肉铺(绘空町)
普利姆叔叔肉铺(新赫兰德区)",物料、可购买、肉类
生鸡蛋,绿,36,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,光滑的禽类的卵，上面粘着一点泥土，一点草屑，或许还带着生命还未真正开始时就酝酿起的温度。,"普利姆叔叔肉铺(桥间地)
普利姆叔叔肉铺(米格尔区)
普利姆叔叔肉铺(新赫兰德区)",物料、可购买、肉类
草莓,绿,40,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,甜美可口的植物果实，没有外皮，也没有核，稍加清洗就可以一整个完整的放进嘴里，完美的植物，像童年。,"Myosotis水果店(桥间地)
Myosotis水果店(绘空町)
Myosotis水果店(新赫兰德区)",物料、可购买、水果、可拾取
椰子,绿,36,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,身披鬃毛的植物果实，外壳坚硬，内里却柔软，盛着甘甜的汁水。它一定是经历很多的悲伤的事情，才会把自己武装起来吧呜呜。,"Myosotis水果店(桥间地)
Myosotis水果店(米格尔区)
Myosotis水果店(新赫兰德区)",物料、可购买、水果、可拾取
橙子,绿,32,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,酸甜多汁的植物果实，切开的一瞬间，汁水迸发的那一刻，好像看到了夏天。,"Myosotis水果店(桥间地)
Myosotis水果店(绘空町)
Myosotis水果店(米格尔区)
Myosotis水果店(新赫兰德区)",物料、可购买、水果
苹果,绿,28,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,爽脆清甜的植物果实，平平无奇的外观，平平无奇的味道，有些无趣，却也怀念。,"Myosotis水果店(桥间地)
Myosotis水果店(绘空町)
Myosotis水果店(米格尔区)
Myosotis水果店(新赫兰德区)",物料、可购买、水果、可拾取
西红柿,绿,48,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,酸甜多汁的植物果实，究竟是蔬菜还是水果的争论一直居高不下，或许税法已经给出了答案。,"蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜、水果、可拾取
鲜香菇,绿,44,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,香味独特的菌类，其貌不扬但极具营养价值。特别警告，请勿抢夺并食用用童章的蘑菇伞。,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜
洋葱,绿,44,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,一层又一层的植物，如果你愿意一层一层地剥开它的心，你就会发现，它会攻击所有试图剥开它的人。,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜、可拾取
辣椒,绿,36,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,带有辛辣气味的植物，吃起来闻起来的味道简直一模一样。据说除了增加食欲外，还能祛湿止痛？,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜、可拾取
卷心菜,绿,32,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,一层又一层的植物，如果你愿意一层一层地剥开了它……用这个表白会成功吗？,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜、可拾取
胡萝卜,绿,28,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,爽脆甘甜的根茎蔬菜，据说狼外婆就是用它做成美丽的蛋糕敲开了小兔子的门，胡萝卜们暂未表明会对这一邪恶行为负责。,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜、可拾取
生菜,绿,28,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,农场直送的有机生菜。嘎嘣脆，生菜味。,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜
马铃薯,绿,24,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,结实的植物，价格低廉，便于种植，更重要的是不管怎么烹饪都很好吃，对于厨房新手来说是非常友好的食材呢。,"蔬菜屋蔬菜店(桥间地)
蔬菜屋蔬菜店(绘空町)
蔬菜屋蔬菜店(米格尔区)
蔬菜屋蔬菜店(新赫兰德区)
蔬菜屋蔬菜店(向阳岛)",物料、可购买、蔬菜、可拾取
龙虾,绿,160,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,攻击性很高的动物，如果可以的话，请在烹饪时多煮一会，这样味道会更加浓郁……绝对不是为了报复呢。,"7-Oceans水产店(绘空町)
7-Oceans水产店(米格尔区)
7-Oceans水产店(新赫兰德区)
7-Oceans水产店(向阳岛)",物料、可购买、水产
螃蟹,绿,120,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,横行霸道的动物，全身覆盖坚硬的甲壳，不过对于老饕来说，花一点点时间才能享受到美味，也是一种生活情调。,"7-Oceans水产店(桥间地)
7-Oceans水产店(米格尔区)
7-Oceans水产店(新赫兰德区)
7-Oceans水产店(向阳岛)",物料、可购买、水产
新鲜虾仁,绿,80,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,饱满丰盛的海鲜食材，褪去外壳后变得Q弹柔软，就算只是简单烹饪都能有无法替代的鲜美滋味。,"7-Oceans水产店(绘空町)
7-Oceans水产店(米格尔区)
7-Oceans水产店(新赫兰德区)
7-Oceans水产店(向阳岛)",物料、可购买、水产
海鱼,绿,72,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,几块切割整齐的海鱼段，肉质坚实而油润，光是拿在手中，就能闻到大洋深处的海风气味。,"7-Oceans水产店(桥间地)
7-Oceans水产店(新赫兰德区)
8-Oceans水产店(向阳岛)",物料、可购买、水产
湖鱼,绿,60,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,生活在淡水中的鱼类，肉质鲜美却也暗藏杀机，柔软的小刺躲藏在美味之中，逃过舌头的追捕然后狠狠扎进喉咙，好痛！,"7-Oceans水产店(桥间地)
7-Oceans水产店(绘空町)
7-Oceans水产店(新赫兰德区)
9-Oceans水产店(向阳岛)",物料、可购买、水产
「T&J」芝士块,绿,44,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,没有人能够拒绝芝士，所以看好放在储藏柜里的芝士——因为老鼠也无法拒绝它。,"怪·食惠副食品店(绘空町)
怪·食惠副食品店(米格尔区)
怪·食惠副食品店(新赫兰德区)
怪·食惠副食品店(向阳岛)",物料、可购买、加工品
红豆,绿,40,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,劳累了一天的上班族应该会喜欢用它做成的食物，因为他们很爱说：「豆沙了！」,"怪·食惠副食品店(绘空町)
怪·食惠副食品店(米格尔区)
怪·食惠副食品店(新赫兰德区)
怪·食惠副食品店(向阳岛)",物料、可购买、加工品
「烘焙伴侣」淡奶油,绿,36,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,奶油最好的归宿就是甜食爱好者的胃和朋友的脸。,"怪·食惠副食品店(绘空町)
怪·食惠副食品店(米格尔区)
怪·食惠副食品店(新赫兰德区)
怪·食惠副食品店(向阳岛)",物料、可购买、加工品、可拾取
硬质黄油,绿,32,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,适用于烘焙的硬质黄油，非常硬，甚至可以当硬货。,"怪·食惠副食品店(绘空町)
怪·食惠副食品店(米格尔区)
怪·食惠副食品店(新赫兰德区)
怪·食惠副食品店(向阳岛)",物料、可购买、加工品
「糖or盐」海盐,绿,28,店铺里常见贩卖的食材，可以在店铺里制作成菜肴出售。,烹饪新手的终极疑问：这玩意儿到底是糖还是盐？这是盐。,"怪·食惠副食品店(绘空町)
怪·食惠副食品店(米格尔区)
怪·食惠副食品店(新赫兰德区)
怪·食惠副食品店(向阳岛)",物料、可购买、调味、可拾取
