名称,稀有度,价格,用途,介绍,获取途径,标签,子类型,适用角色
方斯,紫,1,海特洛市的流通货币。,有泉水图案的科技感信用卡，作为货币象征经济和文化的源头和起点。,"都市闲趣
集市兑换
世界探索",特殊道具、特殊获取、货币、可刷取,货币、永久,
甲硬币,蓝,0.5,养成消耗的基础货币。,一种弱小到处在食物链底端的生物类异象，形似一只小小的甲壳虫，为求生存会在城市中拟态成硬币外观与碰撞声响等待被人捡起，在流通中寻找更好的生机。,"开启材料自选箱
胡迪尼的魔术舞台
猎人交易所
世界探索",特殊道具、特殊获取、货币、可刷取、可购买,货币、永久,
环石,金,150,蕴含特殊能量的稀有货币。,"异晶加工后的稀有货币，蕴含着特殊能量。
「流光溢彩的异象晶体，散落的光芒会再一次点亮旅途。」","世界探索、活动获得、异晶兑换
各类购买（月卡/环期赏令/礼包）
猎人交易所
150/300/500",特殊道具、特殊获取、货币、可购买,货币、永久,
异晶,金,0.1CNY,蕴含特殊能量的稀有货币。,"蕴含特殊能量的稀有货币。
「生长在次元缝隙中的异象晶体，折射而生的光径，或许能联结世界。」",各类购买（淬取异晶/月卡/礼包）,特殊道具、特殊获取、货币,货币、永久,
都市活力,紫,0,可用于「都市闲趣」玩法中获得奖励，每周自动恢复至上限。大宇系统可以额外提高都市活力的可恢复上限。,「即身于无限爆点中，然自以为都市之王。」,"每周一5点恢复
环石兑换
使用道具【去噪底液】",特殊道具、特殊获取、游戏设计,活力类,
本性像素,紫,0,本性像素存在存储上限，并会按时间恢复，当达到或超出上限时将停止恢复。可消耗环石兑换本性像素。异象家具「织梦结」可以额外提高本性像素的可恢复上限。,「本性解析图谱」中的最小单位，判断人类被「侵凌」风险的常见手段之一，可由零角实验室研发的「本性相纸」随身检测。,"自然恢复
环石兑换
使用道具【去噪底液】",特殊道具、特殊获取、游戏设计,活力类,
猎人等级经验,金,0,猎人等级经验，用于提升猎人等级。,猎人等级经验，用于提升猎人等级。,"完成任务
消耗本性像素",特殊道具、特殊获取、游戏设计,经验类,
好感度,紫,0,与伙伴同行时的友谊见证，增进感情的同时或许也会收到同伴的回礼。,与伙伴同行时的友谊见证，增进感情的同时或许也会收到同伴的回礼。,"完成羁遇任务
羁遇赠礼",特殊道具、特殊获取、游戏设计,经验类,
角色卡·早雾,金,720失纬棋子,获得后解锁角色「早雾」。,获得后解锁角色「早雾」。,失纬兑换,特殊道具、特殊获取、角色,角色卡、常驻角色,早雾
角色卡·法帝娅,金,720失纬棋子,获得后解锁角色「法帝娅」。,获得后解锁角色「法帝娅」。,失纬兑换,特殊道具、特殊获取、角色,角色卡、常驻角色,法帝娅
角色卡·白藏,金,720失纬棋子,获得后解锁角色「白藏」。,获得后解锁角色「白藏」。,失纬兑换,特殊道具、特殊获取、角色,角色卡、常驻角色,白藏
角色卡·哈索尔,金,720失纬棋子,获得后解锁角色「哈索尔」。,获得后解锁角色「哈索尔」。,失纬兑换,特殊道具、特殊获取、角色,角色卡、常驻角色,哈索尔
角色卡·达芙蒂尔,金,720失纬棋子,获得后解锁角色「达芙蒂尔」。,获得后解锁角色「达芙蒂尔」。,失纬兑换,特殊道具、特殊获取、角色,角色卡、常驻角色,达芙蒂尔
角色卡·九原,金,720失纬棋子,获得后解锁角色「九原」。,获得后解锁角色「九原」。,失纬兑换,特殊道具、特殊获取、角色,角色卡、常驻角色,九原
角色卡·小吱,金,0,获得后解锁角色「小吱」。,获得后解锁角色「小吱」。,都市大亨」大亨等级18/24/30/33/37/41/45级获得,特殊道具、特殊获取、角色,角色卡、常驻角色,小吱
角色卡·哈尼娅,紫,0,获得后解锁角色「哈尼娅」。,获得后解锁角色「哈尼娅」。,斯卡布罗集市,特殊道具、特殊获取、角色,角色卡、常驻角色,哈尼娅
小吱与思考喵,金,0,都市大亨升至45级累计领取满阶小吱与思考喵！,都市大亨升至45级累计领取满阶小吱与思考喵！,都市大亨升至45级累计领取满阶小吱与思考喵！,特殊道具、特殊获取、游戏设计,奖励预览,小吱
骰子与钥匙,金,0,猎人等级升至40级期间大量获取！,猎人等级升至40级期间大量获取！,猎人等级升至40级期间大量获取！,特殊道具、特殊获取、游戏设计,奖励预览,
哈尼娅,紫,0,通关「轨外之境-节理环线」第10关后领取。,通关「轨外之境-节理环线」第10关后领取。,通关「轨外之境-节理环线」第10关后领取。,特殊道具、特殊获取、游戏设计,奖励预览,哈尼娅
卡带与驱动块,金,0,完成「探索指南」第8阶段领取一套橙色品质空幕。,完成「探索指南」第8阶段领取一套橙色品质空幕。,完成「探索指南」第8阶段领取一套橙色品质空幕。,特殊道具、特殊获取、游戏设计,奖励预览,
海月与骰子,金,0,累计登录领取「海月」、「银河暂留」与质实骰子。,累计登录领取「海月」、「银河暂留」与质实骰子。,累计登录领取「海月」、「银河暂留」与质实骰子。,特殊道具、特殊获取、游戏设计,奖励预览,海月
销魂挠挠爪,金,0,「我们！意念！合一！-良心巨汪！」任务道具,某宠物用品厂商最新研发的宠物头部按摩神器。据说没有一只爱宠能够在它的魔爪下还能够保持理智。「哼！汪们绝不会向这东西低头！」「继续、继续！不要停！呜呼~起飞！」,暂无,特殊道具、特殊获取、游戏设计,其他,
啾啾雀球,蓝,0,可在「啾啾窠巢」中兑换所需物品。,手气不好时可以试着「啾啾」两声，虽然不会让手气变好，但会显得很可爱。,「小小麻雀」玩法获取,特殊道具、特殊获取、货币、其他玩法,活动代币、常驻、小小麻雀,
