名称,价格,标签,用途,介绍,获取途径,好感,好感翻倍角色,每好感花费
此声未刻录,15000,"道具
礼物",可作为礼物赠送给角色。,尚未刻录任何一个音符的空白碟片，接下来的乐章还请多多指教！,Exile on Main St.唱片店(桥间地),200,埃德嘉,75
《拉面的艺术》,50000,"道具
礼物",可作为礼物赠送给角色并增加100点好感度。,"收录了猫丸和猫丸的兄弟姐妹们一起创作的共计328种口味拉面的制作过程，就算是在家也可以做出「猫丸拉面」的味道。
「抹茶咖喱风味拉面？这真的会好吃吗？」",「午夜」猫刊亭,100,,500
《猫会梦见什么》,50000,"道具
礼物",可作为礼物赠送给角色并增加100点好感度。,"一本关于猫的冷知识合集。
「如果猫会做梦的话，它会梦见什么呢？是美味的猫罐头，是草丛里会叫的虫子，会梦见我吗？」",「午夜」猫刊亭,100,,500
《在书本之外》,50000,"道具
礼物",可作为礼物赠送给角色并增加100点好感度。,"一本记录了海特洛市各地风土人情的游记，因其通俗幽默的行文成为海特洛中小学生必读书目之一。
「《向阳岛篇》……扭扭，一种四肢短小的两栖生物，喜欢饼干屑……」",「午夜」猫刊亭,100,,500
《海特洛快讯》,10000,"道具
礼物",可作为礼物赠送给角色并增加50点好感度。,"每日准时为您提供海特洛市最新时政消息，包括今日菜市场最新低价。
「今日头条：海特洛市下雪了。」",「午夜」猫刊亭,50,,200
《荧幕之外》,20000,"道具
礼物",可作为礼物赠送给角色并增加50点好感度。,"比包包蚁更热闹的八卦杂志，你想看的这里都有。
「德沃夏克长子又结婚了？！最豪华的一场婚礼，但背后竟另有隐情？过激粉丝于噗卡乐园再次聚众抗议，我们想要的偶像究竟是什么？……」",「午夜」猫刊亭,50,,400
绒绒棉花,0,"道具
礼物",可作为礼物赠送给角色并增加400点好感度。,棉棉打了一个哈欠，落下很多棉絮，就像太阳晒过一样暖洋洋的。,"异象家具：压缩膨膨朵
迷迭兑换",400,,0
浮冰影券,0,"道具
礼物",可作为礼物赠送给角色并增加400点好感度。（该礼品不受每日赠礼次数限制）,"浮冰影院限量发售的纪念票根，凭此可免费观看任意一场电影。
「不知道怎么开口的话，就用这张影券和想见的人看一场电影吧！」","活动获得
盲盒抽取",400,,0
一封手写信,0,"道具
礼物",可作为礼物赠送给角色并增加2000点好感度。（该礼品不受每日赠礼次数限制）,"「是透过窗扉照进屋内的阳光，是推开门的第一口空气，是街角传来的乐声，就连落在发间的雨，穿过指间的风都想第一时间与你分享。」
「信纸太短，想说的话却又太多。如果这封信能传达出万分之一的想念，如果你见信时恰好也听到街角的乐声响起。」
……
这样写，会不会太夸张了？","失纬兑换
盲盒抽取",2000,,0
番茄全家桶,0,"道具
礼物",可作为礼物赠送给角色并增加300点好感度，赠送给安魂曲时可增加1200点好感度。（该礼物不受每次赠送次数限制）,「番茄百分百」推出的家庭特惠套装，份量极大，或许适合送给对番茄口味有独钟的人？,角色up期间购买羁遇礼盒获得,300,安魂曲,0
豪华版船只拼装模型,0,"道具
礼物",可作为礼物赠送给角色并增加300点好感度，赠送给卡厄斯时可增加1200点好感度。（该礼物不受每次赠送次数限制）,精度极高的拼装模型，或许适合送给喜欢条分缕析的家伙？,角色up期间购买羁遇礼盒获得,300,卡厄斯,0
特别款灰模模型（已涂装）,0,"道具
礼物",可作为礼物赠送给角色并增加300点好感度，赠送给真红时可增加1200点好感度。（该礼物不受每次赠送次数限制）,涂装成特别配色的GK套件，刚好处在让人感动和难为情的微妙边缘。或许适合送给并不坦率、并且因此会产生各种有趣反应的人？,角色up期间购买羁遇礼盒获得,300,真红,0
未知盲盒,0,"道具
礼物",可作为礼物赠送给角色并增加300点好感度，赠送给伊洛伊时可增加1200点好感度。（该礼物不受每次赠送次数限制）,神秘的盲盒，上面没有任何商品信息。或许适合送给想要了解新事物、不怎么在意盲盒内容的人？,角色up期间购买羁遇礼盒获得,300,伊洛伊,0
