名称,稀有度,价格,用途,介绍,获取途径,标签,类型,家装系列,舒适度,收藏值,好感,好感翻倍角色,每好感花费
浅绯祈-暮色银辉,金,200000,「邂逅~银月圆舞会」系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,扭蛋机,家装、礼物、可购买,手办,浅绯祈系列手办,40,200,200,"薄荷
哈尼娅",1000
浅绯祈-流光妄想,紫,50000,「邂逅~银月圆舞会」系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,扭蛋机,家装、礼物、可购买,手办,浅绯祈系列手办,10,50,100,"哈尼娅
真红
伊洛伊",500
浅绯祈-银辉假面,蓝,4000,「邂逅~银月圆舞会」系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,扭蛋机,家装、礼物、可购买,手办,浅绯祈系列手办,2,10,50,伊洛伊,80
浅绯祈-镜月迷踪,蓝,4000,「邂逅~银月圆舞会」系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,扭蛋机,家装、礼物、可购买,手办,浅绯祈系列手办,2,10,50,"真红
伊洛伊",80
浅绯祈-星河虚妄,蓝,4000,「邂逅~银月圆舞会」系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,扭蛋机,家装、礼物、可购买,手办,浅绯祈系列手办,2,10,50,伊洛伊,80
浅绯祈-月影流光,蓝,18000,「邂逅~银月圆舞会」系列手办，收录后增加收藏值，可以摆放在家里的手办柜中并增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,"DSD潮玩店(绘空町)
DSD潮玩店(新赫兰德区)","家装、礼物、可购买
一咖舍",手办,浅绯祈系列手办,36,180,200,"薄荷
哈尼娅",90
浅绯祈-绯红之名,蓝,18000,「邂逅~银月圆舞会」系列手办，收录后增加收藏值，可以摆放在家里的手办柜中并增加舒适度。也可以摆放在咖啡厅中，增加该店50人气值。,以「邂逅~银月圆舞会」中的高人气角色浅绯祈为原型设计的玩偶，做工细腻，布料考究，渐变色的涂装宛若月光下轻盈的圆舞曲，让人一见倾心。,"DSD潮玩店(绘空町)
DSD潮玩店(新赫兰德区)","家装、礼物、可购买
一咖舍",手办,浅绯祈系列手办,36,180,200,"薄荷
哈尼娅",90
心猎铁骑L1-必杀一击,金,200000,心猎铁骑L1系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要战胜一切邪恶！心猎铁骑L1系列手办，绝赞售卖中！,扭蛋机,家装、礼物、可购买,手办,心猎铁骑L1系列手办,40,200,200,娜娜莉,1000
心猎铁骑L1-沉默誓言,紫,50000,心猎铁骑L1系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要战胜一切邪恶！心猎铁骑L1系列手办，绝赞售卖中！,扭蛋机,家装、礼物、可购买,手办,心猎铁骑L1系列手办,10,50,100,"娜娜莉
卡厄斯",500
心猎铁骑L1-全盛姿态,蓝,4000,心猎铁骑L1系列手办，可以摆放在家里的手办柜中，收录后增加收藏值，摆放在家中可增加舒适度。,所谓的英雄，就是要战胜一切邪恶！心猎铁骑L1系列手办，绝赞售卖中！,扭蛋机,"家装、礼物、可购买
可拾取",手办,心猎铁骑L1系列手办,2,10,50,,80
