名称,稀有度,价格,用途,介绍,获取途径,标签,子类型,适用角色,pics
S级常驻角色自选箱,金,0,使用后可从早雾、哈索尔、白藏、法帝娅、达芙蒂尔、九原中选择一名角色加入队伍。,使用后可从早雾、哈索尔、白藏、法帝娅、达芙蒂尔、九原中选择一名角色加入队伍。,活动获取,道具、特殊获取、其他,自选箱、角色获取,,S级常驻角色自选箱
畅爽焕能,紫,0,使用后可恢复100点「都市活力」。,「富含多种电解质的功能饮料，随时随地让您活力回来。」,"活动获得
各类购买（通行证/礼包）",道具、特殊获取、其他,活力,,畅爽焕能
去噪底液,紫,0,使用后可恢复60点「本性像素」。,有效提升本性像素的道具。可根据「本性相纸」读取使用者「本性像素」状况，以特殊编译的底液晃动音频修补本性像素序列失衡部分，减少异象影响下本性解析图谱中的「噪点」。使用后可以获得60点本性像素。,"活动获得
各类购买（通行证/礼包）",道具、特殊获取、其他,活力,,去噪底液
谕石,金,0,收集足够的谕石，可前往魔女之家兑换对应的奖励。,不知前路、难以落地的盲目乌鸦衔着的宝石，无人知晓它们来自何方。有传言说捡到「谕石」的人会被厄运缠身，倘若不小心捡到也不用在意，位于各地的魔女之家中的「魔女」小姐能够消弭这份厄运。,世界探索,道具、特殊获取、重要道具,,,谕石
好狗狗印章,金,0,墨菲克斯所遗留下来的特殊部件，可以强化部分角色的异能等级。,盖满！毛茸茸头目的驯养图鉴~,异象巡礼「墨菲克斯」,道具、可刷取、养成材料,异能升级,,好狗狗印章
好狗狗的毛茸茸,金,7000,墨菲克斯所遗留下来的特殊部件，可以强化部分角色的异能等级。,依靠被嫌弃的「蒲公英技能」最终攻略了世界！,"异象巡礼「墨菲克斯」（不可获得）
拍卖会购买，标价为起拍价（好像修了）",道具、特殊获取,,,好狗狗的毛茸茸
蒲公英的通行证,金,7000,墨菲克斯所遗留下来的特殊部件，可以强化部分角色的异能等级。,隐藏头目虽不是魔王也想触碰邂逅！,"异象巡礼「墨菲克斯」（不可获得）
拍卖会购买，标价为起拍价（好像修了）",道具、特殊获取,,,蒲公英的通行证
名为炫耀的裙袂,金,0,阿拉克涅的舞会完美谢幕后得到的伴手礼，可用于角色异能提升。,阿拉克涅的裙摆摆在舞池里转动着，一圈又一圈，开出永不停歇的鲜花。,异象巡礼「永不谢幕的阿拉克涅」,道具、可刷取、养成材料,异能升级,,名为炫耀的裙袂
记忆的永恒,金,0,讨债人所遗留的时钟，可用于角色异能提升。,当生命变得可以衡量，它又将价值几何？,异象巡礼「讨债人」,道具、可刷取、养成材料,异能升级,,记忆的永恒
异象巡礼材料自选箱,紫,0,使用后可从好狗狗印章、名为炫耀的裙袂、记忆的永恒中自选一件。,自选一件异象巡礼材料。,,道具、特殊获取、养成材料、其他,异能等级、自选箱,,异象巡礼材料自选箱
异象追猎材料自选箱,紫,5000,"使用后可从倾诉花种、上膛骑士火花塞、妄想彼端的一页、水月色拨片、护巢残片、斑斓的票根、海之泪中自选一件。
",自选一件异象追猎材料。,猎人交易所,道具、特殊获取、养成材料、其他,角色突破、自选箱,,异象追猎材料自选箱
上膛骑士火花塞,紫,0,无首铁驭所掉落的怪物素材，常被用作角色突破材料。,审判猎手为暴走都市献上忠诚！,"开启材料自选箱
异象追猎「无首铁驭」",道具、可刷取、养成材料,角色突破,,上膛骑士火花塞
护巢残片,紫,0,圆巢鸟的面具碎片，常被用作角色突破材料。,只要能找回孩子们……,"开启材料自选箱
异象追猎「圆巢鸟」",道具、可刷取、养成材料,角色突破,,护巢残片
斑斓的票根,紫,0,蝴蝶身上的票根状纸片，常被用作角色突破材料。,彩色斑斓的褪色票根，孤独少女的存在证明。,"开启材料自选箱
异象追猎「斑蝶」",道具、可刷取、养成材料,角色突破,,斑斓的票根
海之泪,紫,0,从海囚获取的一滴红色水滴，常被用作角色突破材料。,海水，眼泪，亦或是海的泪？,"开启材料自选箱
异象追猎「海囚」",道具、可刷取、养成材料,角色突破,,海之泪
水月色拨片,紫,0,「音霸魔王」收集的众多拨片中的一枚，常被用作角色突破材料。,想成为不一样的存在，想像他们一样闪耀光辉。,"开启材料自选箱
异象追猎「音霸魔王」",道具、可刷取、养成材料,角色突破,,水月色拨片
倾诉花种,紫,0,静默庭院所掉落的怪物素材，常被用作角色突破材料。,蕴含了没能被说出口的某句话的花种，在将其栽培到绽放之前无从知晓语义为何。,"开启材料自选箱
异象追猎「塞润尼维」",道具、可刷取、养成材料,角色突破,,倾诉花种
妄想彼端的一页,紫,0,从「黑之书」上取下的一页，常被用作角色突破材料。,写在纸上的秘密终有被发现的一天，写在心底的可不会。,"开启材料自选箱
异象追猎「黑之书」",道具、可刷取、养成材料,角色突破,,妄想彼端的一页
失纬棋子,金,0,可用于「棋子商店」中兑换所需物品。,「无主的棋子散落在世界的纬线上，收集起来可以兑换珍贵的宝藏。」,斯卡布罗集市,道具、特殊获取、代币,代币,,失纬棋子
迷迭棋子,紫,0,可用于「棋子商店」中兑换所需物品。,「无主的棋子迷失在时间的长河中，收集起来可以兑换宝藏。」,斯卡布罗集市,道具、特殊获取、代币,代币,,迷迭棋子
危狩勋章,紫,0,首次完成高危委托后获得的奖励勋章，可前往「勋章商店」兑换所需道具。,每一次胜利都值得嘉奖……冷冰冰的勋章可以换成毛绒绒的绵糖吗？,首次完成高危委托,道具、特殊获取、代币,代币,,危狩勋章
行车日志,紫,0,在「轨外之境」收集的幽灵号行车日志，可在「异境回收站」兑换各种奖励。,列车员「浮游小姐」遗落的行车日志，其中记载了幽灵号在轨外之境运行期间的重要信息。将拾获的行车日志交给「异境回收站」的负责人，协助其开展对幽灵号的管理和研究工作，是异象猎人赚外快的一种途径。,通关「轨外之境」关卡,道具、特殊获取、代币,代币,,行车日志
卜多力烧鸟兑换券,蓝,0,使用此券，可在半角街卜多力居酒屋兑换「蜜汁烧鸟串」。,来自卜多力居酒屋的烧鸟，绝不会让你失望的好味道！,世界探索,道具、可拾取、代币,兑换券,,卜多力烧鸟兑换券
咔叽玛「翼起疯狂」兑换券,蓝,0,使用此券，可在海特洛市任意咔叽玛门店免费试吃「浓情蜜翼」。此兑换券每周日发放，每人限领一张。,超级周日，「翼」起疯狂大餐！,世界探索,道具、可拾取、代币,兑换券,,咔叽玛「翼起疯狂」兑换券
9°C咖啡抵扣券,蓝,0,可在海特洛市任意9°C咖啡门店消费时使用，抵扣99方斯。此代金券每周发放一张。,每周特惠福利！无论困倦时刻，或是悠闲时光，都有9°C陪伴您！,世界探索,道具、可拾取、代币,折扣券,,9°C咖啡抵扣券
便利店抵扣券,蓝,0,米格尔区北角镇便利店全店商品可用，抵扣299方斯。,朋友，请不要因为用掉我而哭泣，我化作你省下的方斯，仍然陪伴着你！,世界探索,道具、可拾取、代币,折扣券,,便利店抵扣券
竹本清源代金券,蓝,0,可在海特洛市任意竹本清源门店消费时使用，抵扣300方斯。,竹本清源促销活动开启，惠及您的健康生活！,世界探索,道具、可拾取、代币,折扣券,,竹本清源代金券
七海海鲜铺代金券,蓝,0,可在半角街七海海鲜铺消费时使用，抵扣500方斯。,七海海鲜铺回馈半角街新老顾客，欢迎前来选购！,世界探索,道具、可拾取、代币,折扣券,,七海海鲜铺代金券
DSD新人福利代金券,蓝,0,可在海特洛市任意DSD门店消费时使用，抵扣500方斯。此代金券每人限领取一张。,DSD新顾客福利！感受潮玩带来的乐趣吧！,世界探索,道具、可拾取、代币,折扣券,,DSD新人福利代金券
雷加利亚惊喜代金券,蓝,0,可在海特洛市任意雷加利亚门店购买车辆时使用，抵扣50方斯。,雷加利亚史上最大促销活动来袭！代金券数量有限，先到先得！,世界探索,道具、可拾取、代币,折扣券,,雷加利亚惊喜代金券
