名称,稀有度,价格,用途,介绍,获取途径,标签,食物系列,好感,好感翻倍角色,每好感花费,,
茶界T-Fusion,紫,600,队伍中所有角色消耗的体力降低20%，持续900秒。多人游戏时，仅对自己的角色生效。,清茶，为你解锁清新篇章。茶界T-Fusion，给你不一样的都市茶语。,"售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)","食物、礼物、可购买
体力、消耗降低、百分比、持续、全队","售货机
2-Four便利店",50,,12,,
冰点冷萃,紫,600,队伍中所有角色体力回复速度提升20%，持续900秒。多人游戏时，仅对自己的角色生效。,唤醒感官，启动生活，冰点冷萃，为每一天注入崭新活力。,"售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)","食物、礼物、可购买
体力、回复提速、百分比、持续、全队","售货机
2-Four便利店",50,哈索尔,12,,
极点,蓝,450,队伍中所有角色攻击力增加75，持续180秒。多人游戏时，仅对自己的角色生效。,畅爽系列向前迈出的新一步，来自高峰的雪山融水，畅爽，不仅仅是饮料！,"售货机
2-Four便利店(桥间地)
2-Four便利店(绘空町)
2-Four便利店(米格尔区)","食物、礼物、可购买
攻击力、数值、持续、全队","售货机
2-Four便利店",50,,9,,
魔法膨胀全麦面包,蓝,360,为当前角色恢复生命值上限的12%，并额外恢复850点生命值。,饼干大的面包吃不饱？撕开包装，梦幻膨胀！,"售货机
2-Four便利店(桥间地)
2-Four便利店(米格尔区) ","食物、礼物、可购买
生命、百分比、数值、混合、单体、一次性","售货机
2-Four便利店",50,九原,7.2,,
坂井蜜瓜包,蓝,360,为当前角色恢复生命值上限的10%，并在之后的30秒内，每5秒恢复260点生命值。,酥脆的外皮搭配松软香甜的内里，傲娇少女也会对它敞开心房！,"售货机
2-Four便利店(桥间地)
2-Four便利店(米格尔区)","食物、礼物、可购买
生命、百分比、数值、单体、持续","售货机
2-Four便利店",50,哈尼娅,7.2,,
酷辣辣辣条,绿,300,队伍中所有角色暴击率增加4%，持续180秒。多人游戏时，仅对自己的角色生效。,酷辣辣辣条，潮流新款，大块才够味！,"售货机  
2-Four便利店(新赫兰德区)","食物、礼物、可购买
暴击、暴击率、百分比、持续、全队","售货机
2-Four便利店",50,"娜娜莉
哈尼娅",6,,
劲爽「谜」,紫,840,队伍中所有角色攻击力增加140，持续180秒。多人游戏时，仅对自己的角色生效。,劲爽与街头艺术家Enigma的联名之作，唤醒神秘力量，一起来解开未知的「谜」吧！（桥间地限定）,畅爽专卖售货机,"食物、礼物、可购买、可拾取
攻击力、数值、持续、全队",畅爽,50,法帝娅,16.8,,
炫动「零点」,蓝,480,队伍中所有角色攻击力增加80，持续180秒。多人游戏时，仅对自己的角色生效。,气泡与健康，一个都不少！「炫动·零点」，无糖更健康。,"畅爽专卖售货机
2-Four便利店(米格尔区) ","食物、礼物、可购买、可拾取
攻击力、数值、持续、全队",畅爽,50,,9.6,,
劲爽「果漾」,蓝,480,队伍中所有角色暴击率增加6.4%，持续180秒。多人游戏时，仅对自己的角色生效。 ,气泡与柠檬碰撞，前所未有的酸甜劲爽！冷藏之后风味更佳~,"畅爽专卖售货机
2-Four便利店(新赫兰德区)","食物、礼物、可购买、可拾取
暴击、暴击率、百分比、持续、全队",畅爽,50,"海月
卡厄斯",9.6,,
劲爽「冰川」,蓝,480,队伍中所有角色暴击伤害增加12.8%，持续180秒。多人游戏时，仅对自己的角色生效。 ,极致冷感，瞬间爆发，劲爽冰川，激浪一夏。,"畅爽专卖售货机
2-Four便利店(新赫兰德区)","食物、礼物、可购买、可偷取、可拾取
暴击、暴击伤害、百分比、持续、全队",畅爽,50,,9.6,,
炫动,绿,300,队伍中所有角色攻击力增加50，持续180秒。多人游戏时，仅对自己的角色生效。,加倍气泡，每一口都是能量释放，劲爽炫动，让活力随心动！,"畅爽专卖售货机
咔叽玛快餐店(桥间地)
咔叽玛快餐店(绘空町)
咔叽玛快餐店(米格尔区)
食为天家庭餐厅(桥间地)
食为天家庭餐厅(绘空町)
食为天家庭餐厅(米格尔区)
食为天家庭餐厅(新赫兰德区)","食物、礼物、可购买
攻击力、数值、持续、全队",畅爽,50,,6,,
